budget,genres,original_language,revenue,runtime,vote_average,director
120000000,Action Thriller,en,415484914,123.0,5.9,Paul Greengrass
120000000,Action Adventure Comedy,en,259175788,106.0,5.2,McG
130000000,Science Fiction Adventure Mystery,en,403170142,124.0,6.3,Ridley Scott
120000000,Family Adventure Animation Comedy,en,169956806,78.0,5.4,Rob Minkoff
115000000,Science Fiction Action Drama Thriller,en,286140700,109.0,6.4,Neill Blomkamp
105000000,Action Science Fiction,en,115772733,119.0,6.3,David Twohy
120000000,Action Science Fiction,en,242688965,102.0,5.7,Jos\u00e9 Padilha
120000000,Action Family Science Fiction,en,93945766,135.0,5.7,Lilly Wachowski
120000000,Comedy Drama Romance,en,48668907,121.0,4.9,James L. Brooks
117000000,Action Comedy,en,261930431,109.0,5.9,James Mangold
120000000,Action Science Fiction Adventure Mystery,en,286168572,124.0,6.4,Joseph Kosinski
113000000,Science Fiction Adventure Action,en,850000000,140.0,7.1,George Lucas
120000000,Adventure Action Science Fiction,en,649398328,142.0,6.4,George Lucas
115000000,Animation Comedy Family,en,562816256,92.0,7.5,Pete Docter
120000000,Action Science Fiction Adventure Fantasy,en,415440673,126.0,6.3,James Mangold
115000000,Adventure Action Science Fiction,en,924317558,136.0,6.3,George Lucas
135000000,Adventure Animation Comedy Family Fantasy,en,585178928,98.0,6.8,Chris Sanders
97250400,Fantasy Adventure Comedy Family,fr,132900000,116.0,5.0,Thomas Langmann
115000000,Drama Action History War,en,77628265,134.0,5.8,John Woo
115000000,Action Adventure Drama,en,164602163,114.0,6.0,Cedric Nicolas-Troyan
125000000,Science Fiction Action Adventure Fantasy Comedy,en,477200000,101.0,5.8,Jonathan Liebesman
105000000,Science Fiction Thriller Drama,en,716392705,91.0,7.3,Alfonso Cuar\u00f3n
116000000,Action Adventure Thriller,en,178127760,108.0,5.7,Roger Donaldson
135000000,Fantasy Action Adventure Comedy,en,245623848,112.0,5.8,Dave Green
120000000,Action Adventure Science Fiction,en,167977596,100.0,4.4,Josh Trank
110000000,Action Adventure Comedy Family Fantasy,en,574480841,108.0,6.3,Shawn Levy
110000000,Action Drama Thriller,en,470490832,114.0,6.0,Brad Peyton
110000000,Adventure Action Thriller,en,333011068,119.0,6.0,Roger Spottiswoode
110000000,Drama History War Action,en,215294342,165.0,6.8,Roland Emmerich
110000000,Thriller Crime,en,362744280,125.0,6.4,Steven Soderbergh
110000000,Action Comedy Drama Thriller,en,478207520,120.0,6.5,Doug Liman
110000000,Adventure Science Fiction Thriller,en,295238201,119.0,6.2,Robert Schwentke
116000000,Drama,en,102000000,170.0,7.0,Martin Scorsese
112000000,Comedy,en,237382724,85.0,4.9,Rob Letterman
120000000,Action Crime Comedy,en,227817248,119.0,5.5,Michel Gondry
110000000,Action War,en,337580051,102.0,6.1,Noam Murro
110000000,Animation Family Adventure Comedy Fantasy,en,563749323,103.0,5.5,Raja Gosnell
110000000,Animation Family,en,103951461,76.0,5.7,Will Finn
110000000,Adventure Science Fiction,en,179246868,121.0,5.9,Robert Schwentke
