budget,original_language,popularity,revenue,runtime,vote_average,vote_count,director,critique_success
116000000,en,16.90444,178127760,108,5.7,428,Roger Donaldson,0
135000000,en,39.873791,245623848,112,5.8,963,Dave Green,0
120000000,en,38.126095,167977596,100,4.4,2278,Josh Trank,0
110000000,en,48.780039,574480841,108,6.3,2862,Shawn Levy,1
110000000,en,100.412364,470490832,114,6,2968,Brad Peyton,0
110000000,en,42.887121,333011068,119,6,925,Roger Spottiswoode,0
110000000,en,23.657284,215294342,165,6.8,1099,Roland Emmerich,1
110000000,en,76.840712,362744280,125,6.4,2124,Steven Soderbergh,1
110000000,en,44.635452,478207520,120,6.5,2965,Doug Liman,1
110000000,en,103.718387,295238201,119,6.2,3829,Robert Schwentke,1
116000000,en,45.616098,102000000,170,7,1489,Martin Scorsese,1
112000000,en,22.845143,237382724,85,4.9,621,Rob Letterman,0
120000000,en,31.703608,227817248,119,5.5,1251,Michel Gondry,0
110000000,en,71.510596,337580051,102,6.1,2397,Noam Murro,1
110000000,en,36.65422,563749323,103,5.5,1179,Raja Gosnell,0
110000000,en,19.625972,103951461,76,5.7,389,Will Finn,0
110000000,en,86.105615,179246868,121,5.9,1998,Robert Schwentke,0
110000000,en,37.195046,299268508,127,6.6,2692,Shawn Levy,1
105000000,en,32.473628,347434178,105,5.5,695,Raja Gosnell,0
160000000,en,23.336875,164508066,121,4.1,434,Jan de Bont,0
110000000,en,45.94834,125537191,114,6.6,2303,Gavin Hood,1
110000000,en,48.93337,383531464,128,6.4,2089,Len Wiseman,1
93000000,en,138.049577,871368364,178,8,8705,Peter Jackson,1
110000000,en,22.643776,72178895,120,5.7,672,Frank Coraci,0
107000000,en,18.866672,87713825,157,6.7,447,Michael Mann,1
0,en,18.251129,0,82,4.9,366,Bo Welch,0
120000000,en,95.914473,347234916,115,6.7,3793,Alex Proyas,1
130000000,en,44.490453,211643158,144,6.6,1157,Ridley Scott,1
133000000,en,30.475297,300135367,84,5.8,959,Rob Minkoff,0
105000000,en,62.479574,267045765,97,6.7,1247,Ron Clements,1
108000000,en,167.93287,630161890,141,7.6,7268,Ridley Scott,1
126000000,en,37.68056,162949164,136,6.5,1770,Michael Bay,1
90000000,en,1.004579,10372291,104,3.7,16,Peter Chelsom,0
90000000,en,52.995628,237202299,118,6.1,1485,Dominic Sena,1
103000000,en,95.301296,457640427,155,7.9,5439,Ridley Scott,1
102000000,en,65.948959,358372926,145,7.1,2608,Steven Spielberg,1
100000000,en,132.397737,876688482,161,7.4,5815,Chris Columbus,1
150000000,en,88.935165,599045960,144,7.3,3855,Martin Campbell,1
100000000,en,51.188633,362211740,119,5.6,1243,Tim Burton,0
100000000,en,101.74155,520000000,137,7.7,4185,James Cameron,1
80000000,en,33.691694,214104620,140,6.5,1344,Michael Mann,1
100000000,en,42.361215,266465037,157,7.4,1502,Ridley Scott,1
115000000,en,38.729418,378882411,141,6.8,1116,James Cameron,1
100000000,en,40.597856,150166126,106,6.2,954,Tony Scott,1
100000000,en,32.389353,310650585,98,5.4,1060,Paul Weitz,0
100000000,en,24.399642,170432927,107,6.1,1383,Adam McKay,1
100000000,en,24.507987,242295562,115,5.6,543,Chuck Russell,0
100000000,en,82.121691,425368238,165,7.8,10099,Quentin Tarantino,1
100000000,en,46.727941,100138851,91,6.8,1129,Gary Trousdale,1
100000000,en,51.113717,169327687,78,7.2,1490,Mark Dindal,1
100000000,en,53.732892,312573423,103,6.1,2896,Simon West,1
100000000,en,58.849256,347451894,131,6.4,1926,Jon Turteltaub,1
100000000,en,30.863434,249288105,104,4.9,967,Stefen Fangmeier,0
100000000,en,31.586215,100086793,101,6.4,572,Spike Jonze,1
100000000,en,36.711378,268426634,102,6.4,1121,Chris Wedge,1
100000000,en,41.426678,278731369,103,6,1699,Florian Henckel von Donnersmarck,0
100000000,en,20.652943,211989043,121,5.5,482,Peter Hyams,0
100000000,en,52.792678,170877916,143,7.3,2281,Edward Zwick,1
100000000,en,95.007934,392000694,180,7.9,6571,Martin Scorsese,1
100000000,en,48.205606,336529144,121,5.2,1498,Joel Schumacher,0
105000000,en,58.782359,121214377,129,6.7,1560,Paul Verhoeven,1
102000000,en,73.872343,130482868,172,6.6,2977,Tom Tykwer,1
80000000,en,37.321848,140073390,97,6.5,703,Zack Snyder,1
100000000,en,32.271938,82102379,104,4.2,808,Pitof,0
100000000,en,76.842247,243400000,99,5.6,1680,Brett Ratner,0
140000000,en,38.924136,109578115,95,7.2,948,Ron Clements,1
100000000,en,19.38841,68688831,102,5.3,381,Brad Silberling,0
90000000,en,61.025639,206172544,127,6.1,1795,Patrick Hughes,1
105000000,en,33.507289,133718711,114,5.5,783,Ericson Core,0
84000000,en,17.815595,0,94,3.6,338,Lawrence Guterman,0
100000000,en,50.767332,93820758,122,6.5,1276,Ron Howard,1
100000000,en,12.092241,7103973,95,4.4,142,Ron Underwood,0
100000000,en,30.254021,94882889,115,6.4,717,Paul Greengrass,1
99000000,en,34.308098,246233113,88,6.5,604,Steve Martino,1
10000000,en,3.091077,13835130,110,7.1,73,David Mamet,1
98000000,en,41.862983,433013274,130,6,2206,Stephen Sommers,0
100000000,en,46.160048,193772504,167,7.1,1910,Martin Scorsese,1
94000000,zh,12.516546,95311434,145,7.1,187,Zhang Yimou,1
85000000,en,23.230851,149044513,85,5.9,601,Ash Brannon,0
90000000,en,19.224754,102000000,93,5.4,334,Frank Oz,0
92000000,en,44.455166,172989651,144,7.2,1811,Ridley Scott,1
0,en,16.460356,104907746,85,5.6,578,Jay Roach,0
90000000,en,109.528572,263920180,126,7.3,3885,Luc Besson,1
100000000,en,18.325897,288347692,146,5.4,426,Michael Patrick King,0
95000000,en,37.054554,76432727,89,7,858,Don Michael Paul,1
95000000,en,65.229868,877244782,88,6.2,2672,Steve Martino,1
95000000,en,101.187052,543514353,105,6.7,2374,Kenneth Branagh,1
65000000,en,29.257137,93525586,136,6.6,1065,Peter Jackson,1
94000000,en,85.688789,940335536,100,7.6,6122,Andrew Stanton,1
94000000,en,123.630332,1118888979,201,8.1,8064,Peter Jackson,1
79000000,en,106.914973,926287400,179,8,7487,Peter Jackson,1
95000000,en,63.628459,114178613,102,5.2,957,Sergei Bodrov,0
115000000,en,41.498631,274703340,100,5.7,2192,Simon West,0
100000000,en,58.991388,103039258,119,5.9,2295,Wally Pfister,0
93000000,en,1.859364,368780809,92,5.7,2077,Joe Johnston,0
93000000,en,138.433168,482860185,105,7,4347,Rupert Wyatt,1
90000000,en,21.436682,162839667,95,6.3,572,Mark Waters,1
92000000,en,65.402595,304654182,98,5.2,3493,John Moore,0
145000000,en,10.660441,25819961,137,5.8,106,John Lee Hancock,0
