budget,genres,original_language,revenue,runtime,vote_count,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_critique
14000000,Thriller,en,13551174,119.0,376,Rodrigo Cort\u00e9s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
20000000,Comedy,en,121463226,113.0,2100,Greg Mottola,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
0,Comedy Crime Drama,en,90508336,103.0,52,Tyler Perry,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
18000000,Horror Action,en,0,90.0,82,David Hayter,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
23000000,Music Drama Romance,en,150816700,98.0,640,Jon M. Chu,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1.0
15000000,Animation Comedy Family,en,51053787,80.0,479,Cory Edwards,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
17500000,Drama History War,en,38000000,121.0,793,Terry George,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1.0
24000000,Action Crime Drama Thriller,en,99965753,89.0,966,Xavier Gens,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
17500000,Drama Music,en,7018189,93.0,16,Kasi Lemmons,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0
18000000,Thriller Action,en,266586800,93.0,218,Brian A Miller,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
0,Thriller,en,0,116.0,18,Matt Dillon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
0,Horror Drama Mystery Thriller,en,0,101.0,1660,Alejandro Amen\u00e1bar,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,1.0
18500000,Horror Action Thriller Science Fiction,en,183316455,137.0,3220,James Cameron,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,1.0
17000000,Drama Family Music Romance,en,72070731,170.0,352,George Cukor,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1.0
17000000,Horror Thriller Mystery,en,125586134,100.0,687,Jim Gillespie,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.0
17000000,Comedy,en,136621271,104.0,1219,Luke Greenfield,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
16000000,Comedy Drama Romance,en,109502303,126.0,478,Alexander Payne,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
17500000,Comedy,en,19179969,110.0,172,Jay Chandrasekhar,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
300000,Horror Thriller,en,70000000,91.0,1035,John Carpenter,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.0
17000000,Comedy Family Science Fiction,en,0,87.0,30,John Robert Hoffman,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
17000000,Comedy,en,71625195,123.0,110,Malcolm D. Lee,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
17000000,Action Comedy Crime Thriller,en,57103895,109.0,534,Joe Carnahan,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
20000000,Horror Crime,en,136150434,90.0,730,Kevin Greutert,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
17000000,Comedy Romance,en,0,94.0,297,Michael Lehmann,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
17000000,Comedy,en,30331165,81.0,198,John Fortenberry,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
17000000,Drama Fantasy Romance,en,43165571,86.0,849,Daniel Barnz,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
15000000,Horror Thriller,en,69623713,107.0,705,Alexandre Aja,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0
0,Comedy,en,0,98.0,64,Sam Weisman,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
0,Drama,en,45710059,128.0,213,Niki Caro,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
0,Comedy,en,0,99.0,54,Erik White,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
20000000,Drama,en,21170563,105.0,32,Christian Robinson,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
17000000,Comedy Music Romance,en,115350426,112.0,2247,Jason Moore,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1.0
