budget,original_language,popularity,runtime,vote_average,vote_count,director,success
100000000,en,42.361215,157.0,7.4,1502,Ridley Scott,1
115000000,en,38.729418,141.0,6.8,1116,James Cameron,1
100000000,en,40.597856,106.0,6.2,954,Tony Scott,0
100000000,en,32.389353,98.0,5.4,1060,Paul Weitz,1
100000000,en,24.399642,107.0,6.1,1383,Adam McKay,1
100000000,en,24.507987,115.0,5.6,543,Chuck Russell,1
100000000,en,82.121691,165.0,7.8,10099,Quentin Tarantino,1
100000000,en,46.727941,91.0,6.8,1129,Gary Trousdale,0
100000000,en,51.113717,78.0,7.2,1490,Mark Dindal,1
100000000,en,53.73289200000001,103.0,6.1,2896,Simon West,1
100000000,en,58.849256,131.0,6.4,1926,Jon Turteltaub,1
100000000,en,30.863434,104.0,4.9,967,Stefen Fangmeier,1
100000000,en,31.58621500000001,101.0,6.4,572,Spike Jonze,0
100000000,en,36.711378,102.0,6.4,1121,Chris Wedge,1
100000000,en,41.426678,103.0,6.0,1699,Florian Henckel von Donnersmarck,1
100000000,en,20.652943,121.0,5.5,482,Peter Hyams,1
100000000,en,52.792678,143.0,7.3,2281,Edward Zwick,1
100000000,en,95.007934,180.0,7.9,6571,Martin Scorsese,1
100000000,en,48.205606,121.0,5.2,1498,Joel Schumacher,1
105000000,en,58.782359,129.0,6.7,1560,Paul Verhoeven,0
102000000,en,73.872343,172.0,6.6,2977,Tom Tykwer,0
80000000,en,37.321848,97.0,6.5,703,Zack Snyder,1
100000000,en,32.271938,104.0,4.2,808,Pitof,0
100000000,en,76.842247,99.0,5.6,1680,Brett Ratner,1
140000000,en,38.924136,95.0,7.2,948,Ron Clements,0
100000000,en,19.38841,102.0,5.3,381,Brad Silberling,0
90000000,en,61.025639,127.0,6.1,1795,Patrick Hughes,1
105000000,en,33.507289,114.0,5.5,783,Ericson Core,0
84000000,en,17.815595000000005,94.0,3.6,338,Lawrence Guterman,0
100000000,en,50.767332,122.0,6.5,1276,Ron Howard,0
100000000,en,12.092241,95.0,4.4,142,Ron Underwood,0
100000000,en,30.254021,115.0,6.4,717,Paul Greengrass,0
99000000,en,34.308098,88.0,6.5,604,Steve Martino,1
10000000,en,3.091077,110.0,7.1,73,David Mamet,0
98000000,en,41.862983,130.0,6.0,2206,Stephen Sommers,1
100000000,en,46.160048,167.0,7.1,1910,Martin Scorsese,1
94000000,zh,12.516546,145.0,7.1,187,Zhang Yimou,0
85000000,en,23.230851,85.0,5.9,601,Ash Brannon,1
90000000,en,19.224754,93.0,5.4,334,Frank Oz,0
92000000,en,44.455166,144.0,7.2,1811,Ridley Scott,1
0,en,16.460356,85.0,5.6,578,Jay Roach,1
90000000,en,109.528572,126.0,7.3,3885,Luc Besson,1
100000000,en,18.325897,146.0,5.4,426,Michael Patrick King,1
95000000,en,37.054554,89.0,7.0,858,Don Michael Paul,0
95000000,en,65.22986800000001,88.0,6.2,2672,Steve Martino,1
95000000,en,101.187052,105.0,6.7,2374,Kenneth Branagh,1
65000000,en,29.257137,136.0,6.6,1065,Peter Jackson,0
94000000,en,85.688789,100.0,7.6,6122,Andrew Stanton,1
94000000,en,123.630332,201.0,8.1,8064,Peter Jackson,1
79000000,en,106.914973,179.0,8.0,7487,Peter Jackson,1
95000000,en,63.628459,102.0,5.2,957,Sergei Bodrov,0
115000000,en,41.498631,100.0,5.7,2192,Simon West,1
100000000,en,58.991388,119.0,5.9,2295,Wally Pfister,0
93000000,en,1.859364,92.0,5.7,2077,Joe Johnston,1
93000000,en,138.433168,105.0,7.0,4347,Rupert Wyatt,1
90000000,en,21.436682,95.0,6.3,572,Mark Waters,1
92000000,en,65.40259499999999,98.0,5.2,3493,John Moore,1
145000000,en,10.660441,137.0,5.8,106,John Lee Hancock,0
92000000,en,77.817571,115.0,7.4,5152,Brad Bird,1
98000000,en,7.029308,119.0,5.7,136,Renny Harlin,0
95000000,en,61.121717,118.0,6.0,2010,Chris Columbus,1
90000000,en,104.121555,98.0,6.9,4412,Barry Sonnenfeld,1
90000000,en,73.575118,92.0,7.3,3806,John Lasseter,1
100000000,en,37.698465,98.0,6.3,1165,Tony Scott,1
90000000,en,35.814765,90.0,6.4,1054,Brett Ratner,1
100000000,en,15.835672,130.0,6.3,488,Robert Zemeckis,1
100000000,en,46.781182,90.0,6.5,1747,Phil Lord,1
90000000,en,69.457898,94.0,6.5,2271,Carlos Saldanha,1
90000000,en,43.348022,114.0,7.0,3144,Ben Stiller,1
92000000,en,40.20395,98.0,5.6,1232,McG,1
90000000,en,63.429157,151.0,7.9,4339,Martin Scorsese,1
90000000,en,67.427755,88.0,7.6,2008,Tony Bancroft,1
92000000,en,43.192048,107.0,6.5,1667,Ben Stiller,1
90000000,en,47.651083,158.0,7.2,2434,David Fincher,1
90000000,en,51.88107700000001,128.0,6.9,2066,John McTiernan,1
90000000,en,57.834787,128.0,7.0,5766,Guy Ritchie,1
100000000,en,29.608322,125.0,5.3,621,Timur Bekmambetov,0
120000000,en,51.548589,95.0,6.7,1224,Gary Trousdale,1
0,en,27.867368,92.0,5.8,428,Walt Becker,1
75000000,en,38.832842,121.0,6.7,1173,Bryan Singer,1
90000000,en,40.597344,113.0,5.5,1048,Dennis Dugan,1
88000000,en,140.849495,105.0,5.6,2513,Chris Columbus,1
100000000,en,34.035114,146.0,6.8,1974,Steven Spielberg,1
90000000,en,16.302378,99.0,5.2,466,Rob Minkoff,1
90000000,en,55.249434,150.0,7.2,1308,Robert Zemeckis,1
95000000,en,28.200874,112.0,5.6,634,Paul Verhoeven,1
80000000,en,18.69984,128.0,6.2,392,Sydney Pollack,1
90000000,en,40.262261,106.0,5.9,1648,Thor Freudenthal,1
95000000,en,56.81105600000001,117.0,5.5,1418,Jan de Bont,1
90000000,en,51.535701,129.0,6.7,3235,Jon M. Chu,1
68000000,en,20.913852,116.0,5.9,302,Phillip Noyce,0
92000000,en,27.166757,126.0,6.8,579,Tony Scott,0
90000000,en,16.058284,114.0,5.7,369,Brian De Palma,0
90000000,en,46.200042,96.0,6.5,2166,Carlos Saldanha,1
100000000,en,24.939295,131.0,6.9,963,Chris Columbus,0
90000000,en,19.836124,104.0,5.2,376,Mick Jackson,0
90000000,en,15.350451,107.0,5.9,290,Alan J. Pakula,0
100000000,en,15.625949,138.0,6.1,264,Kathryn Bigelow,0
20000000,en,31.802807,129.0,6.6,650,John Milius,1
88000000,en,24.100863,144.0,7.3,616,Ron Howard,0
90000000,en,3.593349,110.0,5.4,50,Andrei Konchalovsky,0
87000000,en,14.824166,141.0,6.7,216,Gary Ross,1
92000000,en,32.079995000000004,113.0,6.1,950,Jan de Bont,1
90000000,en,57.739713,143.0,7.5,3218,Robert Zemeckis,1
100000000,en,37.272385,108.0,5.9,1410,George Miller,1
75000000,en,53.213931,108.0,7.2,2825,Paul Greengrass,1
85000000,en,36.38795,124.0,6.2,840,Wolfgang Petersen,1
85000000,en,60.929352,116.0,7.2,3783,Steven Soderbergh,1
75000000,en,36.605246,110.0,5.6,924,Paul W.S. Anderson,1
85000000,en,56.257411,91.0,6.8,2566,Genndy Tartakovsky,1
85000000,en,29.21998,107.0,6.6,1449,Kevin Lima,1
85000000,en,34.773106,115.0,6.3,1345,Daniel Espinosa,1
85000000,en,9.895061,100.0,5.1,313,Kevin Lima,1
75000000,en,36.743324,104.0,5.8,932,Brett Ratner,1
85000000,en,44.967453000000006,136.0,6.7,1225,Nancy Meyers,1
90000000,en,41.207568,132.0,6.7,1240,Tony Scott,1
85000000,en,16.479851,121.0,6.2,360,Nancy Meyers,1
85000000,en,42.069993,122.0,6.5,1999,Steven Soderbergh,1
85000000,en,26.61951,83.0,6.1,656,Jill Culton,1
85000000,en,80.316463,139.0,6.9,4663,Neil Burger,1
68000000,en,41.273567,131.0,7.2,999,Jean-Jacques Annaud,0
85000000,en,24.107835,104.0,6.4,514,Peter Berg,0
85000000,en,32.044191,130.0,6.1,712,John McTiernan,0
85000000,en,16.595874,145.0,7.3,652,Rob Marshall,1
85000000,en,8.282876,104.0,6.1,1705,Justin Lin,1
