budget,genres,original_language,runtime,vote_average,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_commercial
60000000,Drama Romance,en,135.0,7.7,Ron Howard,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
45000000,Family Animation Drama,en,89.0,8.0,Roger Allers,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
79000000,Adventure Action Science Fiction,en,94.0,5.8,Brad Peyton,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
78000000,Animation Family Comedy,en,95.0,6.4,Cody Cameron,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
78000000,Crime Thriller Horror,en,124.0,6.7,Brett Ratner,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
100000000,Western Adventure,en,136.0,6.5,Joe Johnston,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
79000000,Comedy,en,91.0,4.1,Dennis Dugan,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
76000000,Action Crime Thriller,en,107.0,6.2,John Singleton,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
64000000,Adventure Animation Fantasy,en,92.0,7.6,Mark Osborne,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
80000000,Science Fiction Thriller,en,99.0,5.7,Oliver Hirschbiegel,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
76000000,Action Adventure Animation Comedy Family,en,88.0,3.9,Des McAnuff,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
75000000,Animation Family,en,87.0,5.9,Chris Renaud,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
78000000,Fantasy Action Thriller Science Fiction,en,110.0,5.7,Stephen Norrington,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,1
76000000,Animation Comedy Family,en,98.0,7.0,Pierre Coffin,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
75000000,Action Adventure Science Fiction,en,145.0,6.7,Roland Emmerich,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
73000000,Adventure Action Science Fiction,en,129.0,6.2,Steven Spielberg,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
75000000,Family Animation,en,86.0,6.6,Eric Darnell,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
76000000,Drama Action Thriller Science Fiction,en,109.0,7.4,Alfonso Cuar\u00f3n,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
75000000,Adventure Action Science Fiction,en,104.0,6.8,Bryan Singer,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
75000000,Action Thriller Crime,en,110.0,6.4,Timur Bekmambetov,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
75000000,Action Adventure Thriller,en,136.0,6.9,Michael Bay,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
80000000,Animation Family Comedy Adventure,en,91.0,6.5,Carlos Saldanha,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
75000000,Comedy Romance,en,99.0,6.6,Peter Segal,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
50000000,Family Comedy Music Romance,en,117.0,6.5,Adam Shankman,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1
80000000,Horror Mystery Thriller,en,114.0,4.7,Renny Harlin,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0
75000000,Action Adventure Comedy Family,en,78.0,4.3,David Kellogg,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
75000000,Thriller Crime,en,115.0,7.3,Louis Leterrier,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
80000000,Comedy,en,102.0,6.0,Dennis Dugan,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
60000000,Comedy Drama,en,128.0,7.0,Steven Spielberg,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
35000000,Comedy Family,en,100.0,5.7,Thor Freudenthal,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
75000000,Action Adventure Thriller,en,124.0,5.9,Martin Campbell,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
75000000,Comedy Drama History,en,102.0,6.5,Mike Nichols,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
75000000,Animation Action Comedy Family,en,90.0,5.8,Vicky Jenson,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
70000000,Drama,en,134.0,6.6,Bill Condon,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
53000000,Comedy Crime,en,118.0,5.4,F. Gary Gray,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
70000000,Drama Action History Thriller,en,164.0,6.9,Steven Spielberg,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
70000000,Action Drama War,en,121.0,6.4,Antoine Fuqua,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
75000000,Action Comedy Thriller Romance,en,100.0,5.7,Robert Luketic,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
75000000,Comedy Action Adventure,en,116.0,7.1,Guy Ritchie,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
